attendancePercentage,quizAverage,assignmentAverage,internalMarks,riskLevel
90,87,95,27,LOW
88,87,87,26,LOW
51,55,63,16,HIGH
94,88,94,27,LOW
50,45,53,15,HIGH
90,92,93,26,LOW
79,65,65,20,MEDIUM
71,69,65,22,MEDIUM
96,92,94,27,LOW
83,93,89,28,LOW
64,68,61,16,HIGH
90,86,95,27,LOW
59,56,60,15,HIGH
88,85,88,27,LOW
89,82,96,25,LOW
92,91,86,28,LOW
57,69,63,21,MEDIUM
40,43,44,12,HIGH
93,83,88,26,LOW
71,72,78,20,MEDIUM
83,76,79,23,MEDIUM
75,73,73,21,MEDIUM
95,95,98,27,LOW
76,84,77,24,MEDIUM
65,66,69,19,MEDIUM
67,70,60,20,MEDIUM
72,77,74,24,MEDIUM
91,86,80,27,LOW
76,66,69,24,MEDIUM
81,68,64,17,MEDIUM
52,51,58,15,HIGH
48,47,53,15,HIGH
78,85,79,23,MEDIUM
78,80,76,23,MEDIUM
69,65,60,18,MEDIUM
93,83,91,25,LOW
66,68,63,17,MEDIUM
55,44,53,15,HIGH
83,77,95,24,LOW
52,48,40,13,HIGH
69,66,73,23,MEDIUM
94,91,86,27,LOW
81,70,67,17,MEDIUM
97,100,98,30,LOW
79,74,80,26,MEDIUM
90,88,91,28,LOW
84,78,73,20,MEDIUM
86,93,82,25,LOW
91,98,91,28,LOW
100,88,98,28,LOW
78,74,71,26,MEDIUM
87,88,78,26,LOW
86,85,100,26,LOW
52,46,39,16,HIGH
45,48,53,16,HIGH
64,62,65,20,MEDIUM
80,74,78,25,MEDIUM
78,73,82,23,MEDIUM
81,65,71,20,MEDIUM
81,73,71,20,MEDIUM
90,90,94,27,LOW
80,85,76,25,MEDIUM
54,50,54,17,HIGH
52,47,50,15,HIGH
97,94,96,27,LOW
71,74,71,22,MEDIUM
90,84,88,27,LOW
97,97,100,30,LOW
89,90,94,25,LOW
79,66,64,19,MEDIUM
89,89,96,28,LOW
88,85,92,27,LOW
96,97,100,29,LOW
94,97,100,28,LOW
87,85,93,26,LOW
88,91,80,26,LOW
87,93,91,26,LOW
77,84,77,24,MEDIUM
79,73,74,22,MEDIUM
86,82,88,24,LOW
76,73,70,19,MEDIUM
89,94,87,28,LOW
77,73,69,22,MEDIUM
95,98,92,27,LOW
94,94,100,28,LOW
82,92,95,27,LOW
47,49,52,14,HIGH
60,51,62,17,HIGH
87,94,82,27,LOW
43,45,47,14,HIGH
90,87,93,27,LOW
91,83,88,27,LOW
